聲量：AI,聲量：CHATGPT,聲量：輝達,聲量：台積電,成交股數,成交筆數,大戶與散戶比例,指數：TW_Close,指數：TW_Volume,指數：NASDAQ_Close,指數：NASDAQ_Volume,指數：DOW_Close,指數：DOW_Volume,指數：SP_Close,指數：SP_Volume,三大法人：外陸資買賣超股數(不含外資自營商),三大法人：投信買賣超股數,三大法人：自營商買賣超股數,淨值(元)
0.06889518771897252,0.30020252756235016,0.0,-0.14359571449609548,-0.3807235831896086,0.4701205639709344,-0.454936870263799,-0.36731664530876723,-0.6261693991104299,0.745275920511493,-0.35002576460183626,-0.10444682334796117,-0.769037327944361,0.9021128306371796,-0.49528028448031863,-0.28198921611104144,0.0,-0.5387056829378065,0.6157896755527086
0.13041932010998467,0.8171668475297422,0.0,-0.6866471427159655,0.5717337074612585,-0.11740913300473865,0.6293558916912735,0.018626402373790867,0.5943582695135278,0.243324187730413,0.007034553840635153,0.75883055358671,0.5586936011257436,-0.3806568774490636,0.2599522954930232,0.8300826264403873,0.0,0.8669440940458661,0.4516235613491967
0.7091395241929218,0.7944920360836017,0.0,0.793788046890031,-0.05848091969388911,0.007670391311896984,-0.048843328355280206,0.7037050098183633,0.2668157994960061,0.8604772651591978,-0.24850743638091805,0.6043735182613926,-0.1139330797339771,0.7280245985973431,-0.4273053489280233,0.2876516343172186,0.0,-0.03847932989202293,0.8174784534018666
0.7617712662520211,0.8129989040472811,0.0,0.7517494259541133,0.21902197780827362,0.19122025390727238,-0.030366311295715428,-0.5182171034033498,0.2927948918807623,0.779119987368231,-0.027852090117639262,0.6890570614843037,0.9448929375503876,0.7091893020886341,-0.6723353880178302,-0.4646985465882658,0.0,0.3720884049321178,0.6707448151402394
-0.550486408482831,0.47502021037330633,-0.47502021037330244,-0.5401170863111867,0.3002922229145337,-0.26047494862761644,0.4279774845153954,0.16127407868794452,-0.9005696522120474,0.04349020399279734,0.6887482261180923,0.6347489942545266,0.319887577665887,0.6493597671476876,0.8055744454942861,-0.8028997745358097,0.0,-0.5026806412140652,-0.04782062513384858
0.8320632754154428,-0.8513813430961715,0.8394113137205428,0.8166495921282166,0.883419409367082,0.011141197691737041,0.4661435647918105,0.7472787493555457,0.6473080195339737,0.87619938467764,0.6358487693621482,0.7081509881098085,0.7825111155813377,0.8506272768451376,0.7921002416997394,0.3718362405310262,0.0,-0.1978463662059314,0.9040677665940522
0.05423730165233622,-0.15256845619287548,0.10577748477365759,0.03655874753699363,-0.7576179536930201,-0.27054307033588265,-0.31271442521309745,0.22826037041337388,0.20371976348273307,0.6825994831437421,0.21678782079007183,0.10622559292310532,0.024166415127790244,0.4515392566424207,-0.5479276294096572,-0.5070318662534679,0.0,0.4192576166084078,0.8083453444435567
-0.02606082025372304,0.22040281508892223,0.2651403518852053,0.14725063974569302,-0.9177566476535134,-0.6707612314488245,-0.7499030536086785,-0.570957034305785,-0.6451146323927602,0.3055874012238075,-0.8352926401397389,0.8370738588180391,-0.6844546501950369,0.6192200929410687,-0.8086764979376637,-0.8487319758132492,0.0,0.688888721078096,-0.47348344704444467
0.03168261850928474,0.3573333801177567,0.2986030816310242,-0.3236785113256513,-0.29524500562707695,-0.6462722223937523,0.16356495488023404,-0.9588096800635152,0.4924254287731316,0.9737168011395471,-0.8400414181565321,0.11188190858698287,-0.1944881202513065,0.7429327273228407,-0.610328876702214,-0.3782277136142792,0.0,0.8085434537041024,0.0847272405847182
0.7226375916251705,0.35770235764909164,0.40095142785413607,0.5177540415536254,-0.4901473798026473,-0.7428016807090605,0.2109478131190391,-0.34695255549305215,-0.5717591829762688,-0.2209939465963064,-0.3116339810345644,0.05080834538794308,-0.3245722649584264,-0.24616157352346893,-0.08581445635192766,0.8397092615072786,0.0,-0.3099914746195227,-0.14127716446952931
-0.6017096155065375,0.6825756566600161,-0.7658833996843227,-0.2445134343908676,0.33017494998201413,-0.6810646346692913,0.5209084308066716,0.7448053493724749,0.6720324816711757,0.9090301973539519,0.6800434371539865,0.8568426918930508,0.6877602180679079,0.8935757160233543,0.7103692982340435,0.2437920065346947,0.0,-0.27809615205766847,0.8595459032386058
