"交易
日期",收盤價,漲跌價,漲跌幅,"至
'23/12/29
累計
漲跌幅"
'23/01/11,29.41,-0.05,-0.17%,24%
'23/01/10,29.46,0.18,0.61%,24.80%
'23/01/09,29.28,0.72,2.52%,27.90%
'23/01/06,28.56,0.21,0.74%,28.90%
'23/01/05,28.35,0.13,0.46%,29.50%
'23/01/04,28.22,-0.06,-0.21%,29.20%
'23/01/03,28.28,0.1,0.35%,29.70%
交易,,,,
日期,,,,
'23/12/29,,,,
'23/12/28,,,,
'23/12/27,,,,
'23/12/26,,,,
'23/12/25,,,,
'23/12/22,,,,
'23/12/21,,,,
'23/12/20,,,,
'23/12/19,,,,
'23/12/18,,,,
'23/12/15,,,,
'23/12/14,,,,
'23/12/13,,,,
'23/12/12,,,,
'23/12/11,,,,
'23/12/08,,,,
'23/12/07,,,,
'23/12/06,,,,
交易,,,,
日期,,,,
'23/12/05,,,,
'23/12/04,,,,
'23/12/01,,,,
'23/11/30,,,,
'23/11/29,,,,
'23/11/28,,,,
'23/11/27,,,,
'23/11/24,,,,
'23/11/23,,,,
'23/11/22,,,,
'23/11/21,,,,
'23/11/20,,,,
'23/11/17,,,,
'23/11/16,,,,
'23/11/15,,,,
'23/11/14,,,,
'23/11/13,,,,
'23/11/10,,,,
交易,,,,
日期,,,,
'23/11/09,,,,
'23/11/08,,,,
'23/11/07,,,,
'23/11/06,,,,
'23/11/03,,,,
'23/11/02,,,,
'23/11/01,,,,
'23/10/31,,,,
'23/10/30,,,,
'23/10/27,,,,
'23/10/26,,,,
'23/10/25,,,,
'23/10/24,,,,
'23/10/23,,,,
'23/10/20,,,,
'23/10/19,,,,
'23/10/18,,,,
'23/10/17,,,,
交易,,,,
日期,,,,
'23/10/16,,,,
'23/10/13,,,,
'23/10/12,,,,
'23/10/11,,,,
'23/10/06,,,,
'23/10/05,,,,
'23/10/04,,,,
'23/10/03,,,,
'23/10/02,,,,
'23/09/28,,,,
'23/09/27,,,,
'23/09/26,,,,
'23/09/25,,,,
'23/09/22,,,,
'23/09/21,,,,
'23/09/20,,,,
'23/09/19,,,,
'23/09/18,,,,
交易,,,,
日期,,,,
'23/09/15,,,,
'23/09/14,,,,
'23/09/13,,,,
'23/09/12,,,,
'23/09/11,,,,
'23/09/08,,,,
'23/09/07,,,,
'23/09/06,,,,
'23/09/05,,,,
'23/09/04,,,,
'23/09/01,,,,
'23/08/31,,,,
'23/08/30,,,,
'23/08/29,,,,
'23/08/28,,,,
'23/08/25,,,,
'23/08/24,,,,
'23/08/23,,,,
交易,,,,
日期,,,,
'23/08/22,,,,
'23/08/21,,,,
'23/08/18,,,,
'23/08/17,,,,
'23/08/16,,,,
'23/08/15,,,,
'23/08/14,,,,
'23/08/11,,,,
'23/08/10,,,,
'23/08/09,,,,
'23/08/08,,,,
'23/08/07,,,,
'23/08/04,,,,
'23/08/02,,,,
'23/08/01,,,,
'23/07/31,,,,
'23/07/28,,,,
'23/07/27,,,,
交易,,,,
日期,,,,
'23/07/26,,,,
'23/07/25,,,,
'23/07/24,,,,
'23/07/21,,,,
'23/07/20,,,,
'23/07/19,,,,
'23/07/18,,,,
'23/07/17,,,,
'23/07/14,,,,
'23/07/13,,,,
'23/07/12,,,,
'23/07/11,,,,
'23/07/10,,,,
'23/07/07,,,,
'23/07/06,,,,
'23/07/05,,,,
'23/07/04,,,,
'23/07/03,,,,
交易,,,,
日期,,,,
'23/06/30,,,,
'23/06/29,,,,
'23/06/28,,,,
'23/06/27,,,,
'23/06/26,,,,
'23/06/21,,,,
'23/06/20,,,,
'23/06/19,,,,
'23/06/16,,,,
'23/06/15,,,,
'23/06/14,,,,
'23/06/13,,,,
'23/06/12,,,,
'23/06/09,,,,
'23/06/08,,,,
'23/06/07,,,,
'23/06/06,,,,
'23/06/05,,,,
交易,,,,
日期,,,,
'23/06/02,,,,
'23/06/01,,,,
'23/05/31,,,,
'23/05/30,,,,
'23/05/29,,,,
'23/05/26,,,,
'23/05/25,,,,
'23/05/24,,,,
'23/05/23,,,,
'23/05/22,,,,
'23/05/19,,,,
'23/05/18,,,,
'23/05/17,,,,
'23/05/16,,,,
'23/05/15,,,,
'23/05/12,,,,
'23/05/11,,,,
'23/05/10,,,,
交易,,,,
日期,,,,
'23/05/09,,,,
'23/05/08,,,,
'23/05/05,,,,
'23/05/04,,,,
'23/05/03,,,,
'23/05/02,,,,
'23/04/28,,,,
'23/04/27,,,,
'23/04/26,,,,
'23/04/25,,,,
'23/04/24,,,,
'23/04/21,,,,
'23/04/20,,,,
'23/04/19,,,,
'23/04/18,,,,
'23/04/17,,,,
'23/04/14,,,,
'23/04/13,,,,
交易,,,,
日期,,,,
'23/04/12,,,,
'23/04/11,,,,
'23/04/10,,,,
'23/04/07,,,,
'23/04/06,,,,
'23/03/31,,,,
'23/03/30,,,,
'23/03/29,,,,
'23/03/28,,,,
'23/03/27,,,,
'23/03/24,,,,
'23/03/23,,,,
'23/03/22,,,,
'23/03/21,,,,
'23/03/20,,,,
'23/03/17,,,,
'23/03/16,,,,
'23/03/15,,,,
交易,,,,
日期,,,,
'23/03/14,,,,
'23/03/13,,,,
'23/03/10,,,,
'23/03/09,,,,
'23/03/08,,,,
'23/03/07,,,,
'23/03/06,,,,
'23/03/03,,,,
'23/03/02,,,,
'23/03/01,,,,
'23/02/24,,,,
'23/02/23,,,,
'23/02/22,,,,
'23/02/21,,,,
'23/02/20,,,,
'23/02/17,,,,
'23/02/16,,,,
'23/02/15,,,,
交易,,,,
日期,,,,
'23/02/14,,,,
'23/02/13,,,,
'23/02/10,,,,
'23/02/09,,,,
'23/02/08,,,,
'23/02/07,,,,
'23/02/06,,,,
'23/02/03,,,,
'23/02/02,,,,
'23/02/01,,,,
'23/01/31,,,,
'23/01/30,,,,
'23/01/17,,,,
'23/01/16,,,,
'23/01/13,,,,
'23/01/12,,,,
'23/01/11,,,,
'23/01/10,,,,
交易,,,,
日期,,,,
'23/01/09,,,,
'23/01/06,,,,
'23/01/05,,,,
'23/01/04,,,,
'23/01/03,,,,
