日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
11-7,"1,000","23,000","-22,000",0,0,0,0,0,0,"-585,863",0,0,0,"624,000","1,209,863","-585,863","-607,863"
11-8,"14,806","44,000","-29,194",0,0,0,0,0,0,"-539,224",0,0,0,"700,000","1,239,224","-539,224","-568,418"
11-9,"109,000","65,000","44,000",0,0,0,0,0,0,"-481,747",0,0,0,"1,015,000","1,496,747","-481,747","-437,747"
11-10,"34,297","608,000","-573,703",0,0,0,0,0,0,"-912,280",0,0,0,"1,352,000","2,264,280","-912,280","-1,485,983"
11-13,"3,030","562,000","-558,970",0,0,0,0,0,0,"-511,647",0,"38,000","-38,000","1,274,000","1,747,647","-473,647","-1,070,617"
11-14,"23,000","785,000","-762,000",0,0,0,0,0,0,"-421,192",0,0,0,"1,283,908","1,705,100","-421,192","-1,183,192"
11-15,"36,999","145,000","-108,001",0,0,0,0,0,0,"-978,667",0,0,0,"2,066,000","3,044,667","-978,667","-1,086,668"
11-16,"436,163","32,000","404,163",0,0,0,0,0,0,"-2,039,380","74,000",0,"74,000","966,000","3,079,380","-2,113,380","-1,635,217"
11-17,"229,073","44,000","185,073",0,0,0,0,0,0,"1,217,428",0,0,0,"2,830,000","1,612,572","1,217,428","1,402,501"
11-20,"16,000","67,000","-51,000",0,0,0,0,0,0,"-661,662",0,0,0,"630,000","1,291,662","-661,662","-712,662"
11-21,"460,000","59,000","401,000",0,0,0,0,0,0,"362,848",0,0,0,"1,503,168","1,140,320","362,848","763,848"
11-22,"26,000","23,000","3,000",0,0,0,0,0,0,"-1,191,548","50,000",0,"50,000","638,000","1,879,548","-1,241,548","-1,188,548"
11-23,"92,000","28,000","64,000",0,0,0,0,0,0,"-215,432","150,000",0,"150,000","1,460,000","1,825,432","-365,432","-151,432"
11-24,0,"22,000","-22,000",0,0,0,0,0,0,"-142,587",0,0,0,"762,413","905,000","-142,587","-164,587"
11-27,"39,000","92,000","-53,000",0,0,0,0,0,0,"-1,135,332","100,000",0,"100,000","1,029,968","2,265,300","-1,235,332","-1,188,332"
11-29,0,"37,000","-37,000",0,0,0,0,0,0,"437,239",0,0,0,"1,800,263","1,363,024","437,239","400,239"
11-30,"4,088","34,000","-29,912",0,0,0,0,0,0,"192,297",0,0,0,"1,171,295","978,998","192,297","162,385"
12-1,"21,150","154,000","-132,850",0,0,0,0,0,0,"-149,759","15,000",0,"15,000","745,000","909,759","-164,759","-282,609"
12-4,"109,000","40,000","69,000",0,0,0,0,0,0,"-375,636","40,000","74,000","-34,000","935,000","1,276,636","-341,636","-306,636"
12-5,"71,030","126,000","-54,970",0,0,0,0,0,0,"-987,762","108,000",0,"108,000","1,159,000","2,254,762","-1,095,762","-1,042,732"
12-6,40,"19,000","-18,960",0,0,0,0,0,0,"305,629",0,0,0,"1,164,137","858,508","305,629","286,669"
12-7,"37,108",0,"37,108",0,0,0,0,0,0,"-810,126","2,000",0,"2,000","899,000","1,711,126","-812,126","-773,018"
12-8,"62,000","33,000","29,000",0,0,0,0,0,0,"604,658",0,0,0,"1,228,721","624,063","604,658","633,658"
12-11,"10,150","26,000","-15,850",0,0,0,0,0,0,"-238,872",0,0,0,"760,000","998,872","-238,872","-254,722"
12-12,"319,070","18,000","301,070",0,0,0,0,0,0,"170,599",0,0,0,"940,000","769,401","170,599","471,669"
12-13,"80,000","28,294","51,706",0,0,0,0,0,0,"553,217",0,0,0,"1,757,000","1,203,783","553,217","604,923"
12-14,"205,501","27,000","178,501",0,0,0,0,0,0,"792,619","58,000",0,"58,000","1,518,619","784,000","734,619","971,120"
12-15,"120,405","36,000","84,405",0,0,0,0,0,0,"1,003,160","21,000","82,000","-61,000","2,097,000","1,032,840","1,064,160","1,087,565"
12-18,"4,087","24,000","-19,913",0,0,0,0,0,0,"-116,528",0,"15,000","-15,000","623,688","725,216","-101,528","-136,441"
12-19,"122,040","84,500","37,540",0,0,0,0,0,0,"204,768","145,000",0,"145,000","751,000","691,232","59,768","242,308"
12-20,"344,057","17,000","327,057",0,0,0,0,0,0,"61,559","28,000",0,"28,000","1,767,603","1,734,044","33,559","388,616"
12-21,"47,000","3,000","44,000",0,0,0,0,0,0,"-405,671","1,000",0,"1,000","709,000","1,115,671","-406,671","-361,671"
12-22,"12,000","15,000","-3,000",0,0,0,0,0,0,"474,161",0,"52,000","-52,000","1,114,000","587,839","526,161","471,161"
12-25,"97,000","13,000","84,000",0,0,0,0,0,0,"354,978",0,0,0,"1,096,672","741,694","354,978","438,978"
12-26,"82,000","21,000","61,000",0,0,0,0,0,0,"714,783",0,0,0,"1,371,783","657,000","714,783","775,783"
12-27,"588,000","5,000","583,000",0,0,0,0,0,0,"416,253",0,"252,000","-252,000","1,837,253","1,169,000","668,253","999,253"
12-28,"128,085","39,222","88,863",0,0,0,0,0,0,"210,799",0,0,0,"1,169,044","958,245","210,799","299,662"
12-29,0,"24,000","-24,000",0,0,0,0,0,0,"426,245",0,0,0,"1,985,245","1,559,000","426,245","402,245"
