日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
3-28,"4,033","13,000","-8,967",0,0,0,0,0,0,"-175,599",0,0,0,"172,000","347,599","-175,599","-184,566"
3-29,"3,000","8,000","-5,000",0,0,0,0,0,0,"186,912",0,0,0,"553,207","366,295","186,912","181,912"
3-30,"81,000","13,000","68,000",0,0,0,0,0,0,"301,141",0,0,0,"674,284","373,143","301,141","369,141"
3-31,"68,000","13,000","55,000",0,0,0,0,0,0,"238,784",0,0,0,"451,108","212,324","238,784","293,784"
4-6,"51,189","43,000","8,189",0,0,0,0,0,0,"-626,757",0,0,0,"120,000","746,757","-626,757","-618,568"
4-7,"6,000","22,098","-16,098",0,0,0,0,0,0,"18,161",0,0,0,"156,000","137,839","18,161","2,063"
4-10,"9,000","11,288","-2,288",0,0,0,0,0,0,"28,215",0,0,0,"602,000","573,785","28,215","25,927"
4-11,0,"11,000","-11,000",0,0,0,0,0,0,"19,180",0,0,0,"254,522","235,342","19,180","8,180"
4-12,0,"10,000","-10,000",0,0,0,0,0,0,"10,725",0,0,0,"43,000","32,275","10,725",725
4-13,202,"20,000","-19,798",0,0,0,0,0,0,"-234,447",0,0,0,"107,000","341,447","-234,447","-254,245"
4-14,"18,000","1,000","17,000",0,0,0,0,0,0,"344,179",0,0,0,"401,187","57,008","344,179","361,179"
4-17,"1,270","31,000","-29,730",0,0,0,0,0,0,"-427,856",0,0,0,"12,000","439,856","-427,856","-457,586"
4-18,"1,000","29,000","-28,000",0,0,0,0,0,0,"-169,174",0,0,0,"270,000","439,174","-169,174","-197,174"
4-19,"4,161","4,000",161,0,0,0,0,0,0,"-102,895",0,0,0,"187,000","289,895","-102,895","-102,734"
4-20,"109,000","4,000","105,000",0,0,0,0,0,0,"-278,905",0,0,0,"139,000","417,905","-278,905","-173,905"
4-21,"10,033","4,000","6,033",0,0,0,0,0,0,"-144,488",0,0,0,"67,082","211,570","-144,488","-138,455"
4-24,"12,000","7,000","5,000",0,0,0,0,0,0,"-138,408",0,0,0,"82,000","220,408","-138,408","-133,408"
4-25,"8,000","31,000","-23,000",0,0,0,0,0,0,"-496,920",0,0,0,"16,000","512,920","-496,920","-519,920"
4-26,"17,000","18,000","-1,000",0,0,0,0,0,0,"-365,798",0,0,0,"136,000","501,798","-365,798","-366,798"
4-27,"18,000","15,000","3,000",0,0,0,0,0,0,"-187,770",0,0,0,"113,000","300,770","-187,770","-184,770"
4-28,"2,000","102,000","-100,000",0,0,0,0,0,0,"166,367",0,0,0,"265,828","99,461","166,367","66,367"
5-2,"8,000","8,000",0,0,0,0,0,0,0,"109,564",0,0,0,"182,358","72,794","109,564","109,564"
5-3,"23,000","29,000","-6,000",0,0,0,0,0,0,"-61,059",0,0,0,"293,000","354,059","-61,059","-67,059"
5-4,"15,033","4,000","11,033",0,0,0,0,0,0,"399,347",0,0,0,"432,000","32,653","399,347","410,380"
5-5,0,"59,000","-59,000",0,0,0,0,0,0,"191,453",0,0,0,"316,000","124,547","191,453","132,453"
5-8,"15,000","1,000","14,000",0,0,0,0,0,0,"130,824",0,0,0,"342,109","211,285","130,824","144,824"
5-9,"3,000","22,000","-19,000",0,0,0,0,0,0,"75,225",0,"90,000","-90,000","272,000","106,775","165,225","56,225"
5-10,"38,486","33,000","5,486",0,0,0,0,0,0,"-328,287",0,0,0,"245,000","573,287","-328,287","-322,801"
5-11,"7,000",0,"7,000",0,0,0,0,0,0,"-516,354",0,0,0,"166,000","682,354","-516,354","-509,354"
5-12,"6,000","7,000","-1,000",0,0,0,0,0,0,"-54,391",0,0,0,"64,000","118,391","-54,391","-55,391"
5-15,"15,000","1,000","14,000",0,0,0,0,0,0,"-92,468",0,0,0,"196,532","289,000","-92,468","-78,468"
5-16,"21,000","16,000","5,000",0,0,0,0,0,0,"97,080",0,0,0,"206,080","109,000","97,080","102,080"
5-17,"3,000","6,000","-3,000",0,0,0,0,0,0,"726,606","30,000","200,000","-170,000","983,606","87,000","896,606","723,606"
5-18,"213,000","18,000","195,000",0,0,0,0,0,0,"1,171,582",0,"8,000","-8,000","1,218,083","38,501","1,179,582","1,366,582"
5-19,"183,035","13,000","170,035",0,0,0,0,0,0,"699,499",0,0,0,"701,549","2,050","699,499","869,534"
5-22,"247,000","4,652","242,348",0,0,0,0,0,0,"295,510","6,000",0,"6,000","423,663","134,153","289,510","537,858"
5-23,"1,000","41,000","-40,000",0,0,0,0,0,0,"252,085",0,0,0,"268,421","16,336","252,085","212,085"
5-24,"11,000","1,000","10,000",0,0,0,0,0,0,"89,801",0,0,0,"373,142","283,341","89,801","99,801"
5-25,"91,000","10,000","81,000",0,0,0,0,0,0,"409,865",0,0,0,"434,068","24,203","409,865","490,865"
5-26,"505,000","39,000","466,000",0,0,0,0,0,0,"1,058,306",0,0,0,"1,398,306","340,000","1,058,306","1,524,306"
