聲量：ESG,聲量：永續,聲量：環保,成交股數,成交筆數,大戶與散戶比例,指數：TW_Close,指數：TW_Volume,指數：NASDAQ_Close,指數：NASDAQ_Volume,指數：DOW_Close,指數：DOW_Volume,指數：SP_Close,指數：SP_Volume,三大法人：外陸資買賣超股數(不含外資自營商),三大法人：投信買賣超股數,三大法人：自營商買賣超股數,淨值(元)
-0.40541452305491876,-0.32320924003783313,-0.388739797485117,0.5435651242970765,0.1958785488903601,0.8527933616736749,-0.6290811497621188,-0.9258984826930761,0.9547913395497567,-0.6992956551825689,-0.4630868266928673,-0.4945419075299748,0.9354162294830511,-0.6372389328715531,0.12784677350555557,0.0,-0.08442534294053419,-0.469761786966528
-0.8580887442396197,0.0,-0.8580887442396264,-0.536513871887263,-0.2739082408800696,0.0011190826144561981,-0.4817820342454441,0.9866217848646607,0.3559846873585855,0.38717501330993914,0.3627874968660774,0.5805834154097335,-0.34697854336749134,0.5501821509190584,0.11213738364226537,0.0,-0.06006381772712772,-0.28782367585675694
-0.023115695009322396,-0.18261218429141793,0.2561436863135521,0.5017390499968555,0.5081908777820763,-0.49825111476160966,-0.4036623608438981,0.6287396651474074,-0.29692401629019555,0.3266937726029111,-0.5739554291041903,0.8723948517354269,-0.49053549218649956,0.7386930070189817,-0.023437335484075176,0.0,-0.3943377490903752,-0.39583164650594244
0.9240056749503885,-0.38567166261546487,-0.16509338179967503,-0.19785636536675952,0.7268835353813192,-0.4722162352945509,-0.9009100316518586,-0.12944930922460743,0.4880700487605742,-0.2416121580979123,0.4144632101480792,0.8473769370736914,0.4149392674417,-0.7138710238680612,-0.16146204285487775,0.0,-0.47560491524284126,-0.9071158289892961
-0.7122996302828948,-0.6925093940465551,0.38937696872188604,-0.005532909579752894,0.20361253791767486,-0.256344502542533,-0.12323158195470693,-0.6382614374563005,0.06870822435980455,0.26365379374009223,0.5634156179902631,0.5024719192909615,0.7391156522819771,0.5016794522922876,-0.5178667747590963,0.0,0.44665856255104824,-0.4925346685425176
0.8248238902292718,-0.3704931854785898,0.07845165347438092,0.06249366520308033,0.47303008351176096,0.029580094999676985,-0.053863396419315264,-0.34941147796326155,-0.04648393902699455,-0.3243370419660356,-0.3732751607333266,-0.08534980355457336,-0.22004592872357337,0.05889344598800924,-0.2630355380122592,0.0,-0.1361764409238041,-0.026322483411209324
-0.8289204646217244,0.049447783012778766,-0.32899206128422537,-0.25188002183560426,-0.019492275816398053,-0.3540518793176031,0.7560937195849872,0.0420945072817651,0.09991571179746904,0.5855971866867163,-0.773364675496033,0.5024880097384046,-0.4251799921738082,0.11152203874342755,-0.13214010433426357,0.0,-0.1231579353224126,0.5577226643763368
0.3819372727729901,-0.18359601114747154,0.0,0.23406113809771195,0.3001438466332482,0.026231643241340308,-0.7400785693307326,-0.3917794496954601,0.6571492585659061,-0.7166126126395288,0.6810202082470456,-0.509113339328147,0.7706211233930252,-0.5489890009698812,0.5231280547243264,0.0,0.16563797968853924,-0.7717357135684741
0.13595232612928665,0.03556035426412284,-0.13595232612928307,-0.2870473353156113,0.17975059318871245,-0.36777188814328665,-0.6756194024062169,0.002128004169008291,0.8719320257322932,-0.6011703131963889,-0.07155363393069164,-0.6440089120375113,0.7430837818320445,-0.866965108909026,-0.2666585000904314,0.0,-0.7800293002889888,-0.6382641932407362
0.6162399061815684,0.6121156033981139,0.535765494467894,-0.46682596361700257,-0.32889902477886135,-0.434930070786938,-0.6945184770808633,-0.5340656821557485,-0.5152672886526247,-0.5676981178339008,-0.6056400136973229,-0.311893509349463,-0.588970935819127,-0.5096964844803584,-0.5626315227447272,0.0,-0.6465081392088982,-0.6841789486560548
-0.6518162001529494,-0.68823270059857,-0.7534885969215469,-0.39383742233160246,-0.2296952329047181,-0.20865430588032446,0.6255715383945142,0.49491317673479346,0.8785571615809713,0.604062653506038,0.8276713045992404,0.5998750082548655,0.8722926674876901,0.5904088808233117,0.6026558869799353,0.0,0.1804277766822435,0.6594758476788821
